编号,题名,年份,DOI,PDF,大类,二级类,创新点标签,科学问题标签,相关性,相关性分数,代码状态,代码仓库,方法关键词
682,FedMamba: Robust multimodal federated intrusion detection for heterogeneous IoT systems,2026,10.1016/j.iot.2026.101877,paper/10.1016_j.iot.2026.101877.pdf,入侵检测与网络异常检测,IoT、车联网、工业互联网与边缘安全; 联邦学习、隐私保护与分布式协同,鲁棒性、对抗防御与可信检测; 数据集、基准、工具与系统化评测; 多模态、多视图与特征融合; 联邦学习、隐私保护与协同训练,对抗规避、污染与鲁棒性; 多源异构数据融合与上下文建模; 边缘、IoT、车联网与工业场景约束,中相关,8,未发现,,FedMamba; Robust; IoT
683,FedScope—Federated Host Embeddings From Telescope Traffic: Design and Implementation,2026,10.1109/tnsm.2026.3685756,paper/10.1109_TNSM.2026.3685756.pdf,联邦学习、隐私保护与分布式协同,,表征学习、预训练与Transformer; 联邦学习、隐私保护与协同训练,开放世界未知攻击与误报控制,中相关,8,已下载,fedscope -> source\fedscope,FedScope; Federated; Host; Embeddings; From; Telescope; Traffic; Design
684,"FedSecureFormer: A Fast, Federated and Secure Transformer Framework for Lightweight Intrusion Detection in Connected and Autonomous Vehicles",2026,10.1109/tvt.2026.3681531,paper/10.1109_TVT.2026.3681531.pdf,入侵检测与网络异常检测,IoT、车联网、工业互联网与边缘安全; 联邦学习、隐私保护与分布式协同,轻量化、实时与高性能部署; 表征学习、预训练与Transformer; 联邦学习、隐私保护与协同训练; 数据集、基准、工具与系统化评测,高速流量实时检测与资源约束; 边缘、IoT、车联网与工业场景约束,强相关,11,未发现,,FedSecureFormer; Fast; Federated; Secure; Transformer; Framework; Lightweight; Intrusion
685,Fine-Grained Detection and Analysis of Unknown Encrypted Malicious Traffic From Mixed Noisy Labels,2026,10.1109/tdsc.2026.3697849,paper/10.1109_TDSC.2026.3697849.pdf,恶意流量、暗网与攻击检测,,数据集、基准、工具与系统化评测,开放世界未知攻击与误报控制; 加密与隐私保护造成可观测特征缺失; 标签稀缺、类别不平衡与长尾攻击,强相关,17,已下载,Sieve -> source\Sieve,Fine-Grained; Detection; Analysis; Unknown; Encrypted; Malicious; Traffic; From
686,FlowXpert: Context-Aware Flow Embedding for Enhanced Traffic Detection in IoT Network,2026,10.1109/tmc.2026.3651574,paper/10.1109_TMC.2026.3651574.pdf,IoT、车联网、工业互联网与边缘安全,,表征学习、预训练与Transformer; 轻量化、实时与高性能部署; 数据集、基准、工具与系统化评测,多源异构数据融合与上下文建模; 高速流量实时检测与资源约束; 边缘、IoT、车联网与工业场景约束,强相关,11,未发现,,FlowXpert; Context-Aware; Flow; Embedding; Enhanced; Traffic; Detection; IoT
687,FORM-IDS: A Lightweight yet High-Fidelity Intrusion Detection Framework via Formal Verification and Knowledge Distillation,2026,10.1109/tce.2026.3694426,paper/10.1109_TCE.2026.3694426.pdf,入侵检测与网络异常检测,IoT、车联网、工业互联网与边缘安全,轻量化、实时与高性能部署; 数据集、基准、工具与系统化评测,高速流量实时检测与资源约束; 边缘、IoT、车联网与工业场景约束; 域迁移、概念漂移与真实网络分布变化,强相关,15,未发现,,FORM-IDS; Lightweight; High-Fidelity; Intrusion; Detection; Framework; Formal; Verification
688,FSLog: Adversarial Margin for Cross-System Few-Shot Log Anomaly Detection,2025,10.1109/tdsc.2025.3647445,paper/10.1109_TDSC.2025.3647445.pdf,时序、日志、KPI 与云原生异常检测,入侵检测与网络异常检测; 其他AI安全与跨域异常检测,鲁棒性、对抗防御与可信检测; 数据集、基准、工具与系统化评测; 自监督、对比学习与少样本学习,标签稀缺、类别不平衡与长尾攻击; 对抗规避、污染与鲁棒性,中相关,6,未发现,,FSLog; Adversarial; Margin; Cross-System; Few-Shot; Log; Anomaly; Detection
689,FusedBoostNet: A Lightweight Hybrid Model for Consumer-Grade Intrusion Detection,2025,10.1109/tce.2025.3634568,paper/10.1109_TCE.2025.3634568.pdf,入侵检测与网络异常检测,,轻量化、实时与高性能部署; 鲁棒性、对抗防御与可信检测; 数据集、基准、工具与系统化评测,高速流量实时检测与资源约束; 对抗规避、污染与鲁棒性,强相关,14,未发现,,FusedBoostNet; Lightweight; Hybrid; Model; Consumer-Grade; Intrusion; Detection; AI-enabled
690,GCB-PPO2: A Hybrid Deep Reinforcement Learning Intrusion Detection System for Under-Represented Attack Categories in SDN,2025,10.1109/tnse.2025.3581689,paper/10.1109_TNSE.2025.3581689.pdf,入侵检测与网络异常检测,恶意流量、暗网与攻击检测,数据集、基准、工具与系统化评测; 生成式增强、GAN与扩散模型,域迁移、概念漂移与真实网络分布变化; 加密与隐私保护造成可观测特征缺失,强相关,15,未发现,,GCB-PPO2; Hybrid; Deep; Reinforcement; Learning; Intrusion; Detection; System
691,Generative Adversarial Networks Based Low-Rate Denial of Service Attack Detection and Mitigation in Software-Defined Networks,2025,10.1109/tnsm.2025.3625278,paper/10.1109_TNSM.2025.3625278.pdf,恶意流量、暗网与攻击检测,入侵检测与网络异常检测; 时序、日志、KPI 与云原生异常检测,生成式增强、GAN与扩散模型; 鲁棒性、对抗防御与可信检测; 轻量化、实时与高性能部署; 数据集、基准、工具与系统化评测,对抗规避、污染与鲁棒性; 高速流量实时检测与资源约束,强相关,16,未发现,,Generative; Adversarial; Networks; Based; Low-Rate; Denial; Service; Attack
692,GenFed-IDS: A Lightweight Federated Generative AI Framework for UAV Anomaly Detection in Rescue Operations,2026,10.1109/tce.2026.3658881,paper/10.1109_TCE.2026.3658881.pdf,入侵检测与网络异常检测,IoT、车联网、工业互联网与边缘安全; 其他AI安全与跨域异常检测,轻量化、实时与高性能部署; 数据集、基准、工具与系统化评测; 生成式增强、GAN与扩散模型; 联邦学习、隐私保护与协同训练,高速流量实时检测与资源约束; 模型可解释、可信与可审计; 数据集代表性、标准化评测与可复现; 边缘、IoT、车联网与工业场景约束,强相关,14,未发现,,GenFed-IDS; Lightweight; Federated; Generative; Framework; UAV; Anomaly; Detection
693,Graph Neural Networks for Graphs With Heterophily: A Survey,2026,10.1109/tkde.2026.3680353,paper/10.1109_TKDE.2026.3680353.pdf,数据集、基准、综述与开源工具,图学习、知识图谱与威胁情报,图神经网络与关系建模; 数据集、基准、工具与系统化评测,多源异构数据融合与上下文建模; 数据集代表性、标准化评测与可复现; 高速流量实时检测与资源约束,弱相关,3,未发现,,Graph; Neural; Networks; Graphs; Heterophily; Survey
694,Guest Editorial Enhancing Edge-Based Consumer Electronics Devices and IoT Ecosystem With Post-Quantum Cryptosystem: Security Challenges and Solutions,2025,10.1109/tce.2025.3628198,paper/10.1109_TCE.2025.3628198.pdf,IoT、车联网、工业互联网与边缘安全,,数据集、基准、工具与系统化评测; 轻量化、实时与高性能部署,边缘、IoT、车联网与工业场景约束; 加密与隐私保护造成可观测特征缺失; 高速流量实时检测与资源约束,中相关,6,未发现,,Guest; Editorial; Enhancing; Edge-Based; Consumer; Electronics; Devices; IoT
695,HADES: Detecting and Investigating Active Directory Attacks via Whole Network Provenance Analytics,2025,10.1109/tdsc.2025.3611866,paper/10.1109_TDSC.2025.3611866.pdf,图学习、知识图谱与威胁情报,恶意流量、暗网与攻击检测,数据集、基准、工具与系统化评测,多源异构数据融合与上下文建模; 加密与隐私保护造成可观测特征缺失,强相关,12,未发现,,HADES; Detecting; Investigating; Active; Directory; Attacks; Whole; Network
696,Hardware-Aware Neural Architecture Search for Encrypted Traffic Classification on Resource-Constrained Devices,2026,10.1109/tnsm.2026.3666676,paper/10.1109_TNSM.2026.3666676.pdf,加密流量分类与应用识别,其他AI安全与跨域异常检测,轻量化、实时与高性能部署; 数据集、基准、工具与系统化评测,加密与隐私保护造成可观测特征缺失; 高速流量实时检测与资源约束; 数据集代表性、标准化评测与可复现; 边缘、IoT、车联网与工业场景约束,强相关,16,候选不可访问,ProtectIT,Hardware-Aware; Neural; Architecture; Search; Encrypted; Traffic; Classification; Resource-Constrained
697,HAVEN: A Hybrid Anomaly Detection System for Intra-Vehicular CAN-Bus Communication Using Rule-Based and Neural Networks,2026,10.1109/tdsc.2026.3673151,paper/10.1109_TDSC.2026.3673151.pdf,其他AI安全与跨域异常检测,IoT、车联网、工业互联网与边缘安全; 入侵检测与网络异常检测,数据集、基准、工具与系统化评测,边缘、IoT、车联网与工业场景约束,中相关,6,未发现,,HAVEN; Hybrid; Anomaly; Detection; System; Intra-Vehicular; CAN-Bus; Communication
698,Hermes: Boosting the Performance of Machine-Learning-Based Intrusion Detection System Through Geometric Feature Learning,2026,10.1109/ton.2026.3697115,paper/10.1109_TON.2026.3697115.pdf,入侵检测与网络异常检测,,数据集、基准、工具与系统化评测; 联邦学习、隐私保护与协同训练; 轻量化、实时与高性能部署,高速流量实时检测与资源约束; 边缘、IoT、车联网与工业场景约束; 开放世界未知攻击与误报控制,强相关,14,未发现,,Hermes; Boosting; Performance; Machine-Learning-Based; Intrusion; Detection; System; Through
699,HFLAD: AI-Driven Hierarchical Fusion Learning for Predictive Anomaly Detection in Consumer-Centric Systems,2026,10.1109/tce.2026.3663615,paper/10.1109_TCE.2026.3663615.pdf,其他AI安全与跨域异常检测,入侵检测与网络异常检测; 时序、日志、KPI 与云原生异常检测,数据集、基准、工具与系统化评测; 多模态、多视图与特征融合; 生成式增强、GAN与扩散模型,多源异构数据融合与上下文建模; 加密与隐私保护造成可观测特征缺失; 边缘、IoT、车联网与工业场景约束,弱相关,3,未发现,,HFLAD; AI-Driven; Hierarchical; Fusion; Learning; Predictive; Anomaly; Detection
700,Hierarchical GNN Message Passing for Node-Level Anomaly Detection in Industrial Control Systems,2025,10.1109/tdsc.2025.3623299,paper/10.1109_TDSC.2025.3623299.pdf,入侵检测与网络异常检测,图学习、知识图谱与威胁情报; 其他AI安全与跨域异常检测,数据集、基准、工具与系统化评测; 图神经网络与关系建模,边缘、IoT、车联网与工业场景约束,中相关,9,未发现,,Hierarchical; GNN; Message; Passing; Node-Level; Anomaly; Detection; Industrial
701,Hierarchical Graph Neural Networks for Resilient Intrusion Detection in Consumer IoT With Limited Labeled Data,2025,10.1109/tce.2025.3604228,paper/10.1109_TCE.2025.3604228.pdf,入侵检测与网络异常检测,图学习、知识图谱与威胁情报; IoT、车联网、工业互联网与边缘安全,图神经网络与关系建模; 轻量化、实时与高性能部署; 鲁棒性、对抗防御与可信检测,标签稀缺、类别不平衡与长尾攻击; 多源异构数据融合与上下文建模; 域迁移、概念漂移与真实网络分布变化; 边缘、IoT、车联网与工业场景约束,强相关,11,已下载,HierGNN -> source\HierGNN,Hierarchical; Graph; Neural; Networks; Resilient; Intrusion; Detection; Consumer
702,HINHJ: Hierarchical Attention-Based Heterogeneous Graph Neural Network for DNS Hijacking Detection,2026,10.1109/tifs.2026.3675876,paper/10.1109_TIFS.2026.3675876.pdf,图学习、知识图谱与威胁情报,,图神经网络与关系建模; 表征学习、预训练与Transformer,多源异构数据融合与上下文建模,中相关,6,未发现,,HINHJ; Hierarchical; Attention-Based; Heterogeneous; Graph; Neural; Network; DNS
703,HKD-Net: Hierarchical Knowledge Distillation Based on Multi-Domain Feature Fusion for Efficient Network Intrusion Detection,2026,10.1109/tnsm.2026.3668812,paper/10.1109_TNSM.2026.3668812.pdf,入侵检测与网络异常检测,其他AI安全与跨域异常检测,轻量化、实时与高性能部署; 多模态、多视图与特征融合; 数据集、基准、工具与系统化评测; 表征学习、预训练与Transformer,高速流量实时检测与资源约束; 多源异构数据融合与上下文建模; 边缘、IoT、车联网与工业场景约束; 域迁移、概念漂移与真实网络分布变化,强相关,13,已下载,HKD-Net -> source\HKD-Net,HKD-Net; Hierarchical; Knowledge; Distillation; Based; Multi-Domain; Feature; Fusion
704,HoneyLLMd: A Large Language Model-Powered Adaptive Honeypot System,2026,10.1109/tnse.2026.3683862,paper/10.1109_TNSE.2026.3683862.pdf,恶意流量、暗网与攻击检测,,表征学习、预训练与Transformer; 数据集、基准、工具与系统化评测; 轻量化、实时与高性能部署,高速流量实时检测与资源约束,强相关,12,未发现,,HoneyLLMd; Large; Language; Model-Powered; Adaptive; Honeypot; System; Over
705,Honeypot-Driven Proactive Detection Network for Attacks in Smart Grids,2026,10.1109/tase.2026.3681594,paper/10.1109_TASE.2026.3681594.pdf,IoT、车联网、工业互联网与边缘安全,恶意流量、暗网与攻击检测,在线、增量、开放集与概念漂移; 鲁棒性、对抗防御与可信检测; 数据集、基准、工具与系统化评测,边缘、IoT、车联网与工业场景约束; 域迁移、概念漂移与真实网络分布变化; 高速流量实时检测与资源约束; 对抗规避、污染与鲁棒性,强相关,10,未发现,,Honeypot-Driven; Proactive; Detection; Network; Attacks; Smart; Grids; NTRODUCTION
706,HTDC: Hyperbolic Transformer With Dual-Momentum Contrastive Learning for Hyperspectral Anomaly Detection,2026,10.1109/tgrs.2026.3670890,paper/10.1109_TGRS.2026.3670890.pdf,其他AI安全与跨域异常检测,多媒体、医学、遥感与视频异常检测; 入侵检测与网络异常检测,表征学习、预训练与Transformer; 自监督、对比学习与少样本学习,开放世界未知攻击与误报控制,弱相关,3,未发现,,HTDC; Hyperbolic; Transformer; Dual-Momentum; Contrastive; Learning; Hyperspectral; Anomaly
707,HTTP/2 DoS Attacks in 5G Networks: Impact Analysis and Anomaly Detection,2026,10.1109/tmc.2026.3657143,paper/10.1109_TMC.2026.3657143.pdf,其他AI安全与跨域异常检测,恶意流量、暗网与攻击检测; 入侵检测与网络异常检测,轻量化、实时与高性能部署; 数据集、基准、工具与系统化评测,高速流量实时检测与资源约束; 边缘、IoT、车联网与工业场景约束; 数据集代表性、标准化评测与可复现,强相关,10,未发现,,HTTP/2; DoS; Attacks; Networks; Impact; Analysis; Anomaly; Detection
708,Hybrid CNN-LSTM Model for DDoS Detection and Mitigation in Software-Defined Networks,2026,10.1109/tnsm.2026.3662819,paper/10.1109_TNSM.2026.3662819.pdf,入侵检测与网络异常检测,恶意流量、暗网与攻击检测,数据集、基准、工具与系统化评测,开放世界未知攻击与误报控制,强相关,10,未发现,,Hybrid; CNN-LSTM; Model; DDoS; Detection; Mitigation; Software-Defined; Networks
709,ICAD: Rethinking the Role of Inference and Cues for the Anomaly Detection of Time Series in IIoT,2026,10.1109/tkde.2026.3682751,paper/10.1109_TKDE.2026.3682751.pdf,IoT、车联网、工业互联网与边缘安全,时序、日志、KPI 与云原生异常检测; 入侵检测与网络异常检测,数据集、基准、工具与系统化评测,边缘、IoT、车联网与工业场景约束; 数据集代表性、标准化评测与可复现; 域迁移、概念漂移与真实网络分布变化; 多源异构数据融合与上下文建模,中相关,7,已下载,ICAD -> source\ICAD,ICAD; Rethinking; Role; Inference; Cues; Anomaly; Detection; Time
710,ICT-META: In-Context Aware Few-Shot Learner for Encrypted Traffic Classification,2026,10.1109/tmlcn.2026.3685578,paper/10.1109_TMLCN.2026.3685578.pdf,加密流量分类与应用识别,其他AI安全与跨域异常检测,自监督、对比学习与少样本学习; 表征学习、预训练与Transformer,标签稀缺、类别不平衡与长尾攻击; 加密与隐私保护造成可观测特征缺失; 多源异构数据融合与上下文建模,强相关,11,未发现,,ICT-META; In-Context; Aware; Few-Shot; Learner; Encrypted; Traffic; Classification
711,IHUD-BERT: A Large-Scale Network Traffic Classification Method Based on Pre-Training Transformers and Knowledge Distillation,2026,10.1109/tccn.2026.3695843,paper/10.1109_TCCN.2026.3695843.pdf,加密流量分类与应用识别,其他AI安全与跨域异常检测,表征学习、预训练与Transformer; 轻量化、实时与高性能部署,高速流量实时检测与资源约束; 边缘、IoT、车联网与工业场景约束; 域迁移、概念漂移与真实网络分布变化,强相关,14,未发现,,IHUD-BERT; Large-Scale; Network; Traffic; Classification; Method; Based; Pre-Training
712,ilLog: Incremental Learning Based Anomaly Detection from Evolving System Logs,2026,10.1109/tdsc.2026.3690744,paper/10.1109_TDSC.2026.3690744.pdf,入侵检测与网络异常检测,时序、日志、KPI 与云原生异常检测; 其他AI安全与跨域异常检测,在线、增量、开放集与概念漂移; 数据集、基准、工具与系统化评测,域迁移、概念漂移与真实网络分布变化,中相关,9,未发现,,Incremental; Learning; Based; Anomaly; Detection; Evolving; System; Logs
713,"Incorporating Gradients to Rules: Toward Online, Adaptive Provenance-Based Intrusion Detection",2025,10.1109/tdsc.2025.3611461,paper/10.1109_TDSC.2025.3611461.pdf,入侵检测与网络异常检测,图学习、知识图谱与威胁情报,在线、增量、开放集与概念漂移; 图神经网络与关系建模; 可解释性、规则抽取与因果分析; 轻量化、实时与高性能部署,高速流量实时检测与资源约束; 多源异构数据融合与上下文建模,强相关,12,未发现,,Incorporating; Gradients; Rules; Toward; Online; Adaptive; Provenance-Based; Intrusion
714,Intrusion detection algorithm based on multi-scale feature fusion,2025,10.1016/j.cose.2025.104783,paper/10.1016_j.cose.2025.104783.pdf,入侵检测与网络异常检测,,多模态、多视图与特征融合,多源异构数据融合与上下文建模,中相关,8,未发现,,Intrusion
715,LaGraph: Laplacian-Guided Graph Learning for Time Series Anomaly Detection,2026,10.1109/tkde.2026.3665696,paper/10.1109_TKDE.2026.3665696.pdf,图学习、知识图谱与威胁情报,时序、日志、KPI 与云原生异常检测; 其他AI安全与跨域异常检测,图神经网络与关系建模; 表征学习、预训练与Transformer; 数据集、基准、工具与系统化评测,多源异构数据融合与上下文建模; 高速流量实时检测与资源约束; 边缘、IoT、车联网与工业场景约束,中相关,9,已下载,LaGraph -> source\LaGraph,LaGraph; Laplacian-Guided; Graph; Learning; Time; Series; Anomaly; Detection
716,Large Language Model-Based Task Offloading and Resource Allocation for Digital Twin Edge Computing Networks,2026,10.1109/tmc.2026.3664866,paper/10.1109_TMC.2026.3664866.pdf,IoT、车联网、工业互联网与边缘安全,,轻量化、实时与高性能部署; 表征学习、预训练与Transformer,高速流量实时检测与资源约束; 边缘、IoT、车联网与工业场景约束,中相关,6,候选不可访问,-LLMBased-Task-Offloading-and-Resource-Allocation-for-DTECN,Large; Language; Model-Based; Task; Offloading; Resource; Allocation; Digital
717,Large-Scale BGP Routing Anomaly Detection Based on Graph Attention Auto-Encoder,2025,10.1109/tnsm.2025.3631527,paper/10.1109_TNSM.2025.3631527.pdf,其他AI安全与跨域异常检测,入侵检测与网络异常检测; 图学习、知识图谱与威胁情报,表征学习、预训练与Transformer; 图神经网络与关系建模,多源异构数据融合与上下文建模,中相关,6,未发现,,Large-Scale; BGP; Routing; Anomaly; Detection; Based; Graph; Attention
718,Learnable Frequency Domain Phase Residual and Graph-Contrastive Dynamic Convolution Network for Hyperspectral Anomaly Detection,2026,10.1109/tgrs.2026.3698646,paper/10.1109_TGRS.2026.3698646.pdf,多媒体、医学、遥感与视频异常检测,其他AI安全与跨域异常检测; 入侵检测与网络异常检测,自监督、对比学习与少样本学习,域迁移、概念漂移与真实网络分布变化; 多源异构数据融合与上下文建模,中相关,6,未发现,,Learnable; Frequency; Domain; Phase; Residual; Graph-Contrastive; Dynamic; Convolution
719,Learning Flow Semantics for Encrypted Traffic Analysis: A Contrastive Pre-training Approach,2026,10.1109/tdsc.2026.3677663,paper/10.1109_TDSC.2026.3677663.pdf,加密流量分类与应用识别,其他AI安全与跨域异常检测; 网络流量监测、测量与工具,表征学习、预训练与Transformer; 自监督、对比学习与少样本学习; 生成式增强、GAN与扩散模型; 数据集、基准、工具与系统化评测,加密与隐私保护造成可观测特征缺失,强相关,12,未发现,,Learning; Flow; Semantics; Encrypted; Traffic; Analysis; Contrastive; Pre-training
720,Learning in Multiple Spaces: Prototypical Few-Shot Learning With Metric Fusion for Next-Generation Network Security,2026,10.1109/tnsm.2026.3665647,paper/10.1109_TNSM.2026.3665647.pdf,入侵检测与网络异常检测,,多模态、多视图与特征融合; 自监督、对比学习与少样本学习; 联邦学习、隐私保护与协同训练; 鲁棒性、对抗防御与可信检测,标签稀缺、类别不平衡与长尾攻击; 多源异构数据融合与上下文建模; 域迁移、概念漂移与真实网络分布变化; 高速流量实时检测与资源约束,强相关,11,未发现,,Learning; Multiple; Spaces; Prototypical; Few-Shot; Metric; Fusion; Next-Generation
721,Learning Subgraph-Based Normality for Interpretable Graph-Level Anomaly Detection,2025,10.1109/tifs.2025.3647221,paper/10.1109_TIFS.2025.3647221.pdf,图学习、知识图谱与威胁情报,入侵检测与网络异常检测; 其他AI安全与跨域异常检测,可解释性、规则抽取与因果分析; 数据集、基准、工具与系统化评测; 图神经网络与关系建模,模型可解释、可信与可审计; 多源异构数据融合与上下文建模,中相关,8,未发现,,Learning; Subgraph-Based; Normality; Interpretable; Graph-Level; Anomaly; Detection; GLAD
722,Learning With Noisy Labels for Industrial Time Series Outlier Detection: A Transformer-Embedded Contrastive Learning Framework,2025,10.1109/tii.2025.3616850,paper/10.1109_TII.2025.3616850.pdf,其他AI安全与跨域异常检测,时序、日志、KPI 与云原生异常检测,表征学习、预训练与Transformer; 自监督、对比学习与少样本学习; 数据集、基准、工具与系统化评测,标签稀缺、类别不平衡与长尾攻击; 边缘、IoT、车联网与工业场景约束,弱相关,0,未发现,,Learning; Noisy; Labels; Industrial; Time; Series; Outlier; Detection
723,Lightweight Multimedia Anomaly and Integrity Detection for Consumer IoT Using Knowledge Distillation,2025,10.1109/tce.2025.3644297,paper/10.1109_TCE.2025.3644297.pdf,IoT、车联网、工业互联网与边缘安全,其他AI安全与跨域异常检测,轻量化、实时与高性能部署; 鲁棒性、对抗防御与可信检测; 生成式增强、GAN与扩散模型; 数据集、基准、工具与系统化评测,高速流量实时检测与资源约束; 边缘、IoT、车联网与工业场景约束; 多源异构数据融合与上下文建模; 加密与隐私保护造成可观测特征缺失,中相关,8,未发现,,Lightweight; Multimedia; Anomaly; Integrity; Detection; Consumer; IoT; Using
724,Lightweight Privacy-Preserving IDS for ITS: Integrated Federated Learning and Blockchain,2026,10.1109/tits.2026.3661633,paper/10.1109_TITS.2026.3661633.pdf,联邦学习、隐私保护与分布式协同,入侵检测与网络异常检测,联邦学习、隐私保护与协同训练; 轻量化、实时与高性能部署,高速流量实时检测与资源约束; 加密与隐私保护造成可观测特征缺失; 边缘、IoT、车联网与工业场景约束,中相关,6,未发现,,Lightweight; Privacy-Preserving; IDS; ITS; Integrated; Federated; Learning; Blockchain
725,LitCVit: A Lightweight Self-Supervised Contrastive Vision Transformer for Encrypted Malicious Traffic Detection,2026,10.1109/tifs.2026.3683528,paper/10.1109_TIFS.2026.3683528.pdf,其他AI安全与跨域异常检测,恶意流量、暗网与攻击检测; 加密流量分类与应用识别,自监督、对比学习与少样本学习; 轻量化、实时与高性能部署; 表征学习、预训练与Transformer; 鲁棒性、对抗防御与可信检测,加密与隐私保护造成可观测特征缺失; 高速流量实时检测与资源约束; 对抗规避、污染与鲁棒性,强相关,12,未发现,,LitCVit; Lightweight; Self-Supervised; Contrastive; Vision; Transformer; Encrypted; Malicious
726,LLM-HGAN: LLM-Enhanced Heterogeneous Graph Attention Networks for Advanced Persistent Threat Detection,2026,10.1109/tnse.2026.3687554,paper/10.1109_TNSE.2026.3687554.pdf,图学习、知识图谱与威胁情报,恶意流量、暗网与攻击检测,图神经网络与关系建模; 表征学习、预训练与Transformer; 生成式增强、GAN与扩散模型; 鲁棒性、对抗防御与可信检测,多源异构数据融合与上下文建模; 加密与隐私保护造成可观测特征缺失; 对抗规避、污染与鲁棒性,中相关,8,未发现,,LLM-HGAN; LLM-Enhanced; Heterogeneous; Graph; Attention; Networks; Advanced; Persistent
727,LLMBA: Efficient Behavior Analytics via Large Pretrained Models in Zero Trust Networks,2026,10.1109/tifs.2026.3666459,paper/10.1109_TIFS.2026.3666459.pdf,联邦学习、隐私保护与分布式协同,,表征学习、预训练与Transformer; 轻量化、实时与高性能部署; 鲁棒性、对抗防御与可信检测; 联邦学习、隐私保护与协同训练,高速流量实时检测与资源约束; 模型可解释、可信与可审计; 边缘、IoT、车联网与工业场景约束; 开放世界未知攻击与误报控制,强相关,10,未发现,,LLMBA; Efficient; Behavior; Analytics; Large; Pretrained; Models; Zero
728,Log Anomaly Detection via Transformers Pre-Trained on Massive Unlabeled Data,2026,10.1109/tnse.2026.3654089,paper/10.1109_TNSE.2026.3654089.pdf,其他AI安全与跨域异常检测,入侵检测与网络异常检测; 时序、日志、KPI 与云原生异常检测,表征学习、预训练与Transformer,标签稀缺、类别不平衡与长尾攻击,弱相关,3,未发现,,Log; Anomaly; Detection; Transformers; Pre-Trained; Massive; Unlabeled; Data
729,LogBoost: Boost Log Anomaly Detection by Cherry-Picking Log Sequences,2026,10.1109/tsc.2026.3664358,paper/10.1109_TSC.2026.3664358.pdf,时序、日志、KPI 与云原生异常检测,其他AI安全与跨域异常检测; 入侵检测与网络异常检测,数据集、基准、工具与系统化评测,数据集代表性、标准化评测与可复现,中相关,6,未发现,,LogBoost; Boost; Log; Anomaly; Detection; Cherry-Picking; Sequences; Debugging
730,LogInstruct: Knowledge-Driven Instruction Synthesis for Enhancing LLM-Based Log Analysis,2026,10.1109/tsc.2026.3656204,paper/10.1109_TSC.2026.3656204.pdf,IoT、车联网、工业互联网与边缘安全,,轻量化、实时与高性能部署; 数据集、基准、工具与系统化评测,高速流量实时检测与资源约束; 边缘、IoT、车联网与工业场景约束,中相关,6,未发现,,LogInstruct; Knowledge-Driven; Instruction; Synthesis; Enhancing; LLM-Based; Log; Analysis
731,LogMUSE: Log Anomaly Detection via Multi-Scale Semantic Representation,2026,10.1109/tsc.2026.3700403,paper/10.1109_TSC.2026.3700403.pdf,时序、日志、KPI 与云原生异常检测,入侵检测与网络异常检测; 其他AI安全与跨域异常检测,表征学习、预训练与Transformer,开放世界未知攻击与误报控制,中相关,8,未发现,,LogMUSE; Log; Anomaly; Detection; Multi-Scale; Semantic; Representation; Logs
732,LSTM-1DResNet: An Intrusion Detection Model for Connected and Autonomous Vehicles Based on Deep Learning,2026,10.1109/tvt.2026.3663771,paper/10.1109_TVT.2026.3663771.pdf,入侵检测与网络异常检测,IoT、车联网、工业互联网与边缘安全; 其他AI安全与跨域异常检测,应用场景与系统化验证,边缘、IoT、车联网与工业场景约束; 加密与隐私保护造成可观测特征缺失,强相关,13,未发现,,LSTM-1DResNet; Intrusion; Detection; Model; Connected; Autonomous; Vehicles; Based
733,MAD-MulW: A Multi-Window Anomaly Detection Framework for BGP Security Events,2026,10.1109/tnsm.2026.3696319,paper/10.1109_TNSM.2026.3696319.pdf,入侵检测与网络异常检测,其他AI安全与跨域异常检测,数据集、基准、工具与系统化评测,开放世界未知攻击与误报控制,强相关,11,已下载,MAD-MulW -> source\MAD-MulW,MAD-MulW; Multi-Window; Anomaly; Detection; Framework; BGP; Security; Events
734,MADGuard: A High-Performance Microservice Anomaly Detection System With Multidimensional Data Fusion and Temporal Causal Analysis,2025,10.1109/tnsm.2025.3634590,paper/10.1109_TNSM.2025.3634590.pdf,时序、日志、KPI 与云原生异常检测,入侵检测与网络异常检测; 其他AI安全与跨域异常检测,轻量化、实时与高性能部署; 多模态、多视图与特征融合; 可解释性、规则抽取与因果分析; 数据集、基准、工具与系统化评测,多源异构数据融合与上下文建模; 高速流量实时检测与资源约束,中相关,9,未发现,,MADGuard; High-Performance; Microservice; Anomaly; Detection; System; Multidimensional; Data
735,MAGNN: Multi-scale adaptive graph neural networks with contrastive learning for malicious network traffic detection,2026,10.1016/j.jpdc.2026.105240,paper/10.1016_j.jpdc.2026.105240.pdf,图学习、知识图谱与威胁情报,其他AI安全与跨域异常检测,图神经网络与关系建模; 自监督、对比学习与少样本学习,多源异构数据融合与上下文建模,强相关,10,未发现,,MAGNN; Multi-scale; GNN; contrastive learning
736,Malicious encrypted traffic identification model based on flow space-time features,2026,10.1016/j.icte.2026.03.007,paper/10.1016_j.icte.2026.03.007.pdf,加密流量分类与应用识别,恶意流量、暗网与攻击检测,轻量化、实时与高性能部署,加密与隐私保护造成可观测特征缺失; 高速流量实时检测与资源约束,强相关,15,未发现,,Malicious
